#ORF	TR 1 (mol/min)	TR 2 (mol/min)	TR 3 (mol/min)	TR 4 (mol/min)	TR 5 (mol/min)	RA T1 (mol/cel)	RA T2 (mol/cel)	RA T3 (mol/cel)	RA T4 (mol/cel)	RA T5 (mol/cel)
orf	tr.1	tr.2	tr.3	tr.4	tr.5	ra.1	ra.2	ra.3	ra.4	ra.5
YAL001C	0.080256968	0.074366463	0.072123268	0.078799088	0.075302765	0.268151539	NA	0.314708158	NA	0.346424953
YAL002W	0.041704965	0.05826143	0.05287246	0.046526613	0.050701347	NA	NA	0.568710383	NA	0.500769656
YAL003W	1.205841242	1.370004489	1.057271663	1.133306781	1.063606321	28.27495916	25.82819938	14.585703	21.74163681	17.67657018
YAL004W	0.488635604	0.394598893	0.271364422	0.324352838	0.254338429	77.45272239	59.79251908	40.67992447	55.24652063	38.21576512
YAL005C	0.979948374	0.694793689	0.444053362	0.65135375	0.664883648	30.44047874	28.39364525	19.99796806	25.55738281	26.86527408
YAL007C	0.051562883	0.038204358	0.046175354	0.048320833	0.036903239	1.804932402	1.316793024	1.09497935	1.4789187	1.45589803
YAL008W	0.025078181	0.032467226	0.026932512	0.026083275	0.029524578	0.875254375	0.910304096	0.737101331	0.860624674	0.768693822
YAL009W	0.029859938	0.032753696	0.033582077	0.025483779	0.032412942	2.277909708	0.99612441	1.120766529	0.959226218	1.210943241
YAL010C	NA	NA	0.020209657	NA	0.021372182	NA	NA	NA	NA	0.73291154
YAL011W	0.068938324	0.061873575	0.063613572	0.05857304	0.069397378	1.347517059	1.549906127	1.530750935	1.392568063	1.65511138
YAL012W	0.099035441	0.144628568	0.08766468	0.101254673	0.102911534	15.76089859	19.37348621	18.93833127	17.39267864	14.48640918
YAL013W	0.123667999	0.146738273	0.14130565	0.121698625	0.160018291	4.845202441	6.920684453	7.10171411	6.857766725	5.06424398
YAL014C	0.129151062	0.132927359	0.115291224	0.108816259	0.117919351	1.678632726	1.75024543	1.721108213	1.547659609	1.646946804
YAL015C	0.141020808	NA	NA	0.085696553	NA	3.462099354	NA	NA	2.401734848	9.676887743
YAL016W	0.160045401	0.120189396	0.11956076	0.112760151	0.134061649	1.014216824	1.11058678	0.967611993	0.960503076	1.059447729
YAL017W	0.053124333	0.051112861	0.059808133	0.057798761	0.063901887	0.645775296	0.961038599	1.171392689	1.040591144	1.171090099
YAL018C	NA	NA	NA	NA	NA	1.16122186	NA	NA	1.078586296	1.362801161
YAL019W	0.125192901	0.124649164	0.104290363	0.117303421	0.119556161	1.005973174	1.244700782	0.939178698	1.0823183	0.961529647
YAL020C	0.056907626	0.065268557	0.052050231	0.061446552	0.066561093	0.652563859	0.712139184	0.774644398	0.774277249	0.618111648
