orf	name	YPD0.1_rpkb	YPD0.2_rpkb	YPD15.1_rpkb	YPD15.2_rpkb	HS15.1_rpkb	HS15.2_rpkb	YPD0_rpkb	YPD15_rpkb	HS15_rpkb	YPD0_copies_per_cell	YPD15_copies_per_cell	HS15_copies_per_cell
YAL069W	NA	8.86	0	8.86	0	0	8.86	4.43	4.43	4.43	0.02	0.02	0.02
YAL068W-A	NA	0	0	0	0	0	16.83	0	0	8.42	0	0	0.03
YAL068C	NA	0	0	0	0	0	0	0	0	0	0	0	0
YAL067W-A	NA	0	0	0	0	0	0	0	0	0	0	0	0
YAL067C	SEO1	4.53	3.96	3.4	3.4	6.79	9.62	4.24	3.4	8.21	0.02	0.01	0.03
YAL066W	NA	3.25	0	0	0	0	0	1.62	0	0	0.01	0	0
YAL065C	NA	6.61	13.22	13.22	0	19.83	33.05	9.91	6.61	26.44	0.04	0.03	0.11
YAL064W-B	NA	0	22.84	0	22.84	22.84	22.84	11.42	11.42	22.84	0.04	0.05	0.09
YAL064C-A	NA	32.09	21.39	39.22	17.83	32.09	78.43	26.74	28.52	55.26	0.1	0.12	0.23
YAL064W	NA	0	0	0	0	7.73	7.73	0	0	7.73	0	0	0.03
YAL063C-A	NA	7.47	7.47	7.47	0	7.47	7.47	7.47	3.73	7.47	0.03	0.02	0.03
YAL063C	FLO9	45.12	36.66	28.2	15.51	31.02	16.92	40.89	21.85	23.97	0.15	0.09	0.1
YAL062W	GDH3	65.81	86.01	67.31	52.35	195.95	133.13	75.91	59.83	164.54	0.28	0.24	0.68
YAL061W	BDH2	121.12	160.95	286.94	240.61	2773.51	2137.85	141.03	263.78	2455.68	0.52	1.07	10.17
YAL060W	BDH1	646.62	907.21	726.12	741.14	2734.88	1817.07	776.91	733.63	2275.98	2.87	2.98	9.43
YAL059W	ECM1	277.18	117.88	152.93	111.51	41.42	27.08	197.53	132.22	34.25	0.73	0.54	0.14
YAL059C-A	NA	218.86	96.2	115.44	108.23	38.48	16.84	157.53	111.83	27.66	0.58	0.45	0.11
YAL058W	CNE1	112.92	89.39	98.13	88.72	85.36	106.2	101.16	93.43	95.78	0.37	0.38	0.4
YAL056C-A	NA	126.74	112.34	109.46	74.89	100.82	112.34	119.54	92.17	106.58	0.44	0.37	0.44
YAL056W	GPB2	128.9	161.12	123.91	115.47	121.61	102.43	145.01	119.69	112.02	0.54	0.49	0.46
YAL055W	PEX22	108.85	144.51	120.11	106.98	236.47	116.36	126.68	113.54	176.42	0.47	0.46	0.73
YAL054C	ACS1	31.73	40.73	42.15	30.31	88.09	54.94	36.23	36.23	71.52	0.13	0.15	0.3
YAL053W	FLC2	162.39	153.36	150.36	119.43	142.19	130.6	157.87	134.89	136.4	0.58	0.55	0.57
YAL051W	OAF1	73	62.38	56.92	56.27	68.49	70.1	67.69	56.6	69.3	0.25	0.23	0.29
YAL049C	NA	340.81	298.55	373.53	298.55	554.84	399.43	319.68	336.04	477.14	1.18	1.36	1.98
YAL047W-A	NA	21.4	24.45	15.28	9.17	30.57	36.68	22.92	12.23	33.62	0.08	0.05	0.14
YAL048C	GEM1	42.14	48.23	42.14	44.68	37.06	45.69	45.18	43.41	41.38	0.17	0.18	0.17
YAL047C	SPC72	51.76	56.62	49.07	50.69	57.69	46.91	54.19	49.88	52.3	0.2	0.2	0.22
YAL046C	NA	212.39	192.57	252.04	184.07	305.84	164.25	202.48	218.05	235.04	0.75	0.89	0.97
YAL044W-A	NA	310.94	350.57	344.47	301.79	506.03	289.6	330.75	323.13	397.82	1.22	1.31	1.65
YAL045C	NA	285.83	344.97	315.4	282.55	440.25	236.55	315.4	298.97	338.4	1.16	1.21	1.4
YAL044C	GCV3	2555.34	2387.35	2561.26	2156.13	2318.18	1713.44	2471.34	2358.7	2015.81	9.12	9.57	8.35
YAL043C	PTA1	129.44	134.6	133.31	104.07	92.88	87.29	132.02	118.69	90.09	0.49	0.48	0.37
YAL042W	ERV46	713.37	742.76	758.26	682.36	433.41	361.58	728.06	720.31	397.5	2.69	2.92	1.65
YAL042C-A	NA	371.47	430.69	425.3	390.31	188.43	212.65	401.08	407.81	200.54	1.48	1.66	0.83
YAL041W	CDC24	165.11	180.08	152.1	132.79	139.89	140.68	172.59	142.45	140.28	0.64	0.58	0.58
YAL040C	CLN3	321.45	259.02	292.28	240.94	201.85	259.02	290.24	266.61	230.44	1.07	1.08	0.95
YAL039C	CYC3	199.11	165.3	255.47	221.65	207.88	152.78	182.21	238.56	180.33	0.67	0.97	0.75
YAL038W	CDC19	28061.87	29476.01	26277.86	25173.62	11775.99	11204.67	28768.94	25725.74	11490.33	106.2	104.43	47.61
YAL037C-B	NA	31690.55	33132.92	29417.44	27787.12	13759.09	12242.99	32411.73	28602.29	13001.04	119.65	116.1	53.87
YAL037C-A	NA	1357.47	1324.89	1020.81	868.78	477.83	249.77	1341.18	944.8	363.8	4.95	3.84	1.51
YAL037W	NA	38.95	31.42	28.9	32.67	31.42	15.08	35.19	30.79	23.25	0.13	0.12	0.1
YAL036C	RBG1	459.3	284.67	284.67	194.63	60.03	60.03	371.99	239.65	60.03	1.37	0.97	0.25
YAL035W	FUN12	1022.77	659.32	775.15	787.71	231.66	362.44	841.04	781.43	297.05	3.1	3.17	1.23
YAL034W-A	MTW1	74.76	45.55	75.92	39.71	43.22	26.87	60.15	57.82	35.04	0.22	0.23	0.15
YAL034C-B	NA	76.87	62.63	85.41	59.79	31.32	37.01	69.75	72.6	34.16	0.26	0.29	0.14
YAL034C	FUN19	115.03	141.95	121.55	119.11	411.98	391.58	128.49	120.33	401.78	0.47	0.49	1.66
YAL033W	POP5	208.02	134.14	161.36	110.81	124.42	36.94	171.08	136.09	80.68	0.63	0.55	0.33
