# Downloaded from http://scsie.uv.es/chipsdna/mRNA%20final%20data.txt
# From Genomic Run-On Evaluates Transcription Rates for All Yeast Genes and Identifies Gene Regulatory Mechanisms, 
# Molecular Cell Volume 15, Issue 2, 23 July 2004, Pages 303–313 José Garci´a-Marti´nez1, 2, Agusti´n Aranda1, 3, José E Pérez-Orti´n
# http://www.sciencedirect.com/science/article/pii/S1097276504003375
#ORF name	Gene name	Biological Process	mRNA t0	SD t0	mRNA t1	SD t1	mRNA t2	SD t2	mRNA t3	SD t3	mRNA t4	SD t4	mRNA t5	SD t5
orf	gene	biological.process	mrna.t0	sd.t0	mrna.t1	sd.t1	mrna.t2	sd.t2	mrna.t3	sd.t3	mrna.t4	sd.t4	mrna.t5	sd.t5
YAL001C	TFC3	transcription	11.6438	3.5836	7.473	3.4743	11.2875	3.1587	13.3158	3.2064	17.2104	6.0534	25.6751	6.2586
YAL002W	VPS8	vacuolar protein targeting	15.6196	4.1091	9.4561	4.0054	18.061	3.6231	8.4349	4.0596	16.3135	3.6245	12.5085	3.8288
YAL003W	EFB1	protein synthesis	593.5964	9.9788	391.5567	9.9554	74.6222	9.9211	174.5162	10.2941	438.7265	9.3365	240.6829	9.6812
YAL004W	YAL004W	unknown	1627.5271	6.3282	1181.9499	6.3133	424.0106	6.4614	459.429	6.6138	919.9619	5.9866	1095.3286	6.6336
YAL005C	SSA1	ER and mitochondrial translocation	1135.2164	6.1032	847.2349	6.1025	290.913	6.2372	316.9795	6.3692	601.2144	5.7505	680.2011	6.2542
YAL007C	ERP2	membrane trafficking; secretion (putative)	78.6219	7.0872	62.5146	6.8784	20.8036	6.8272	25.6708	7.0366	57.6495	6.5472	52.3392	6.8464
YAL008W	FUN14	unknown	17.1056	5.8058	13.888	5.3273	37.4395	5.6423	24.1952	5.636	39.0055	5.1902	50.5528	5.4463
YAL009W	SPO7	meiosis	11.6801	3.2707	9.2119	3.0298	8.6494	3.0062	7.882	3.1172	9.3675	2.9799	8.9277	3.047
YAL010C	MDM10	mitochondrial biogenesis	NA	NA	NA	NA	5.7096	5.0194	2.7731	5.8215	NA	NA	7.9632	4.4461
YAL011W	FUN36	unknown	16.6246	6.0453	13.5988	2.7698	9.8257	2.8622	13.306	2.876	22.934	5.338	17.3403	5.6869
YAL012W	CYS3	methionine biosynthesis	651.6836	6.5712	474.596	6.5795	93.2746	6.6389	123.5205	6.7787	194.1037	6.1092	140.2077	6.3478
YAL013W	DEP1	phospholipid metabolism	77.1393	5.0718	71.7594	4.9917	63.025	5.1599	63.3128	5.2383	85.0615	4.7253	60.8451	4.8995
YAL014C	YAL014C	unknown	43.3581	5.6536	47.3448	5.497	30.5478	5.6383	27.7408	5.7091	40.5992	5.2328	33.6908	5.4855
YAL015C	NTG1	DNA repair	234.2973	5.8447	137.3465	5.7899	94.0923	5.938	78.4875	6.0061	129.8979	5.4301	89.8637	5.6271
YAL016W	TPD3	tRNA biosynthesis, cytokinesis, ceramide-mediated signaling	53.3006	6.7405	36.7714	6.4183	29.9092	6.6613	28.4896	6.7626	55.3098	6.2511	43.0573	6.5365
YAL017W	FUN31	unknown	27.5558	6.9365	19.0282	6.4629	55.7409	6.9578	41.4552	6.9942	41.3983	6.3407	43.1341	6.667
YAL018C	YAL018C	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL019W	FUN30	unknown	35.7818	6.4407	14.7573	3.0944	7.2465	3.4426	8.64	3.3809	20.5689	6.0022	16.9257	6.3705
YAL020C	ATS1	cytoskeleton (putative)	19.1335	4.3131	21.1994	4.0725	11.544	4.1392	10.4576	2.1273	12.7194	4.0144	11.4959	4.2354
YAL021C	CCR4	catabolite repression	201.1409	6.6123	143.4447	6.5489	111.1144	6.7337	96.4326	6.8182	125.2494	6.139	107.0807	6.3818
YAL022C	FUN26	unknown	61.4915	6.17	34.8169	5.8709	30.3745	6.111	10.7695	3.1109	15.1868	5.8339	8.956	3.1594
YAL023C	PMT2	protein glycosylation	173.9545	6.3193	132.9862	6.2582	38.1881	6.2584	49.7618	6.4145	84.6474	5.8404	54.788	6.0602
YAL024C	LTE1	cell cycle	21.9392	7.9363	11.4353	3.9042	10.9392	3.8594	17.2469	3.7799	25.647	7.0561	16.6866	3.7941
YAL025C	MAK16	dsRNA virus propagation	48.2721	5.2152	32.6993	4.9931	NA	NA	17.8554	5.1741	28.9765	4.7942	18.4603	5.075
YAL027W	YAL027W	unknown	10.1547	4.1887	6.49	4.1159	10.7883	3.6158	11.1072	3.6903	11.4173	3.5994	10.6802	3.6881
YAL028A-W	YAL028W-A	NO EN SGD	82.584	6.8806	62.0775	6.6788	48.5078	6.8998	29.9692	6.8815	48.2978	6.3348	58.368	6.6439
YAL029C	MYO4	cell polarity	40.1631	6.8841	25.7217	6.4478	11.5116	3.4153	16.5251	3.4188	15.1991	3.3147	15.5207	3.4336
YAL030W	SNC1	secretion	44.6443	7.9813	26.434	7.4722	45.8554	8.0038	29.9772	7.9927	38.4202	7.3571	33.0622	7.7886
YAL031C	FUN21	unknown	36.606	7.1812	23.3797	6.7159	29.8726	7.0891	18.0159	7.1137	37.839	6.6207	30.958	6.9953
YAL033W	POP5	tRNA processing	79.0995	6.2078	41.5497	5.9433	25.1372	6.0775	46.1212	6.3288	67.6199	5.7547	42.9824	5.9881
YAL034C	FUN19	unknown	47.0437	7.1206	16.3157	3.4164	83.8152	7.2995	41.2098	7.249	42.3057	6.5802	49.8639	6.9199
YAL034W-A	MTW1	unknown	26.0649	5.7842	19.9581	5.383	14.8653	5.5489	13.9426	2.8555	20.9595	5.3246	16.1999	5.6715
YAL035W	FUN12	unknown	86.0753	5.882	59.1341	5.7232	10.3402	2.8661	31.6689	5.9217	62.7331	5.4437	50.2674	5.6689
YAL036C	FUN11	unknown	261.4517	5.6264	186.1407	5.6052	22.4359	5.4553	84.2238	5.7916	155.2185	5.2388	91.3285	5.418
YAL037C-B	YAL037C-B	unknown	6087.612	5.7743	4054.2742	5.6237	883.8852	5.8638	983.0619	6.0436	1339.9589	5.5169	1572.6507	6.2386
YAL037W	YAL037W	unknown	7.5932	4.5522	4.3181	4.6761	2.0348	5.8287	3.4924	4.7393	6.8026	4.0075	13.7649	3.7033
YAL038W	CDC19	glycolysis	6109.3367	6.3105	4874.3548	6.1283	973.2766	6.4044	1357.9701	6.5798	1289.3137	6.0213	1832.8723	6.8389
YAL039C	CYC3	cytochrome c biosynthesis	15.8019	5.2418	22.1394	4.7745	114.8228	5.2587	78.7257	5.3075	73.9721	4.7544	35.4148	4.9251
YAL040C	CLN3	cell cycle	120.0823	9.123	131.6672	8.9963	68.5506	9.1607	87.6858	9.3706	120.1153	8.4801	109.3674	8.825
YAL041W	CDC24	cell polarity	80.026	7.6879	50.365	7.3674	35.7998	7.5919	37.5188	7.7358	62.313	7.1064	48.0071	7.4323
YAL042W	ERV46	cell polarity 	119.7355	5.1563	97.8977	5.0996	41.3284	5.1644	44.9895	5.2565	57.4399	4.7574	54.5513	4.9576
YAL043C	PTA1	tRNA processing	106.1313	6.5433	63.83	6.3536	46.6535	6.5461	42.1314	6.6244	60.496	6.036	42.3787	6.2978
YAL044C	GCV3	glycine metabolism	54.8287	5.5246	35.2109	5.2897	37.3285	5.5423	17.8419	5.4622	28.6041	5.0681	29.3353	5.3471
YAL044W-A	YAL044W-A	unknown	67.6794	5.7687	41.5746	5.5466	43.34	5.799	40.9507	5.8772	67.5831	5.3584	36.2483	5.5698
YAL045C	YAL045C	unknown	60.5328	6.2424	44.3122	6.0095	39.534	6.2489	50.5027	6.399	69.0498	5.8046	39.7784	6.0393
YAL046C	YAL046C	unknown	31.9269	5.3604	20.1377	5.0208	14.9841	5.1848	19.3517	5.3583	26.3497	4.9423	21.5529	5.2326
YAL047C	SPC72	cytoskeleton	4.8435	5.3112	4.5573	4.9096	2.5141	5.8274	5.2594	4.5938	6.792	4.2488	6.0748	4.2307
