# Velculescu et al. 1997, via Lu et al. 2007
orf	sage
YGR192C	NA
YOL086C	NA
YMR303C	NA
YLR109W	13
YER065C	NA
YHR174W	392
YKL060C	249
YJR104C	37
YJR009C	89
YGR254W	NA
YAL003W	32
YAL005C	5
YLR044C	270
YBR011C	6
YKL056C	1
YIL053W	15
YLL024C	25
YFL039C	81
YER177W	58
YER091C	NA
YMR116C	81
YPL061W	1
YBR196C	27
YLR355C	1
YDL055C	2
YOR375C	10
YDR099W	NA
YLR293C	7
YMR186W	NA
YLR354C	5
YPL106C	12
YJL167W	10
YPR035W	10
YJR121W	10
YGR240C	8
YLL026W	14
YJR045C	5
YDR502C	1
YLR180W	7
YPL240C	NA
YDR226W	22
YGR180C	7
YJL034W	8
YBR221C	8
YER165W	2
YHR018C	1
YGL062W	1
YLR259C	15
YDL126C	5
YNR050C	7
YOR323C	7
YGL026C	9
YOR027W	NA
YCR005C	2
YGR144W	NA
YMR296C	NA
YCL030C	NA
YOR184W	3
YAR015W	7
YGL234W	2
YKL210W	3
YLR249W	52
YGR204W	7
YOR361C	5
YPL160W	4
Q0010	NA
Q0017	NA
Q0032	NA
Q0045	NA
Q0050	NA
Q0055	NA
Q0060	NA
Q0065	NA
Q0070	NA
Q0075	NA
Q0080	NA
Q0085	NA
Q0092	NA
Q0105	NA
Q0110	NA
Q0115	NA
Q0120	NA
Q0130	NA
Q0140	NA
Q0142	NA
Q0143	NA
Q0144	NA
Q0160	NA
Q0182	NA
Q0250	NA
Q0255	NA
Q0275	NA
Q0297	NA
YAL001C	1
YAL002W	NA
YAL004W	NA
YAL007C	4
YAL008W	1
YAL009W	NA
YAL010C	NA
YAL011W	NA
YAL012W	12
YAL013W	NA
YAL014C	1
YAL015C	1
YAL016W	5
YAL017W	2
YAL018C	NA
YAL019W	NA
YAL020C	NA
YAL021C	NA
YAL022C	1
YAL023C	1
YAL024C	NA
YAL025C	1
YAL026C	NA
YAL027W	NA
YAL028W	1
YAL029C	1
YAL030W	2
YAL031C	NA
YAL032C	NA
YAL033W	NA
YAL034C	1
YAL034C-B	NA
YAL034W-A	1
YAL035W	2
YAL036C	3
YAL037W	NA
YAL038W	141
YAL039C	2
YAL040C	1
YAL041W	NA
YAL042C-A	NA
YAL042W	NA
YAL043C	NA
YAL044C	1
YAL044W-A	NA
YAL045C	NA
YAL046C	NA
YAL047C	NA
YAL048C	NA
YAL049C	2
YAL051W	NA
YAL053W	NA
YAL054C	1
YAL055W	1
YAL056C-A	NA
YAL056W	1
YAL058W	NA
YAL059W	1
YAL060W	1
YAL061W	NA
YAL062W	1
YAL063C	NA
YAL064C-A	NA
YAL064W	NA
YAL066W	NA
YAL067C	NA
YAL068C	NA
YAL069W	NA
YAR002C-A	8
YAR002W	1
YAR003W	NA
YAR007C	NA
YAR008W	NA
YAR009C	NA
YAR010C	NA
YAR014C	NA
YAR018C	NA
YAR019C	NA
YAR020C	NA
YAR023C	NA
YAR027W	3
YAR028W	NA
YAR029W	NA
YAR030C	NA
YAR031W	1
YAR033W	NA
YAR035W	NA
YAR042W	NA
YAR044W	1
YAR047C	NA
YAR050W	NA
YAR053W	NA
YAR060C	NA
YAR064W	NA
YAR066W	NA
YAR068W	NA
YAR069C	NA
YAR070C	NA
YAR071W	NA
YAR073W	NA
YAR075W	NA
YBL001C	2
YBL002W	7
YBL003C	NA
YBL004W	2
YBL005W	NA
YBL005W-A	NA
YBL005W-B	NA
YBL006C	3
YBL007C	NA
YBL008W	1
YBL009W	NA
YBL010C	NA
YBL011W	NA
YBL012C	NA
YBL013W	NA
YBL014C	NA
YBL015W	3
YBL016W	1
YBL017C	3
YBL018C	NA
YBL019W	NA
YBL020W	2
YBL021C	NA
YBL022C	NA
YBL023C	1
YBL024W	NA
YBL025W	1
YBL026W	NA
YBL027W	42
YBL028C	3
