# From http://arep.med.harvard.edu/mrnadata/expression.html
# Finding DNA Regulatory Motifs within Unaligned Non-Coding Sequences Clustered by Whole-Genome mRNA Quantitation, Roth, F.R., Hughes, J. D., Estep, P. E. & G.M. Church, Nature Biotechnology 1998   
orf	expr.a	expr.alpha	low.sig.a	low.sig.alpha
YPL187W	0.11	2.88	TRUE	FALSE
YGL089C	0.07	3.67	TRUE	FALSE
YCL066W	0.09	0.51	TRUE	FALSE
YCR040W	0.09	0.37	TRUE	FALSE
YJR004C	0.35	1.74	TRUE	FALSE
YLR040C	0.35	1	TRUE	FALSE
YHR053C	5.96	17.01	FALSE	FALSE
YHR128W	0.44	1.09	FALSE	FALSE
YGL106W	0.16	0.51	FALSE	FALSE
YGR038W	0.17	0.3	FALSE	FALSE
YHR141C	1.03	1.98	FALSE	FALSE
YLR355C	1.09	2.59	FALSE	FALSE
YGL030W	4.86	9.72	FALSE	FALSE
YLR029C	0.97	2.84	FALSE	FALSE
YGR159C	0.21	0.48	FALSE	FALSE
YOR309C	0.41	0.93	FALSE	FALSE
YIL052C	2.34	4.11	FALSE	FALSE
YLR056W	0.65	1.53	FALSE	FALSE
YNL112W	0.16	0.33	FALSE	FALSE
YGR232W	0.19	0.54	FALSE	FALSE
YIL133C	4.77	8.84	FALSE	FALSE
YJR145C	2.08	3.91	FALSE	FALSE
YLR229C	0.72	1.6	FALSE	FALSE
YLR150W	0.77	1.74	FALSE	FALSE
YEL026W	1.59	2.96	FALSE	FALSE
YLR293C	1.16	2.37	FALSE	FALSE
YOL040C	10.86	20.6	FALSE	FALSE
YMR292W	0.48	0.86	FALSE	FALSE
YFR031C-A	2.22	5.11	FALSE	FALSE
YGL055W	0.65	1.19	FALSE	FALSE
YJL153C	0.35	1.25	TRUE	FALSE
YNL255C	0.25	0.51	FALSE	FALSE
YDR471W	0.82	1.28	FALSE	FALSE
YER086W	0.13	0.36	FALSE	FALSE
YER117W	1.82	3.53	FALSE	FALSE
YLR333C	1.58	2.59	FALSE	FALSE
YMR276W	0.54	0.64	FALSE	FALSE
YOL021C	0.11	0.21	TRUE	FALSE
YOR247W	3.99	5.53	FALSE	FALSE
YOR310C	0.42	0.76	FALSE	FALSE
YDR450W	1.45	3.12	FALSE	FALSE
YEL040W	0.36	0.75	FALSE	FALSE
YGL198W	0.21	0.82	FALSE	FALSE
YGR124W	0.25	0.25	FALSE	FALSE
YIL018W	8.69	15.94	FALSE	FALSE
YIL069C	0.45	0.93	FALSE	FALSE
YMR321C	0.46	0.63	FALSE	FALSE
YOR021C	0.11	0.23	FALSE	FALSE
YHR193C	1.12	2.16	FALSE	FALSE
YLR249W	1.04	1.8	FALSE	FALSE
YLR286C	1.1	1.61	FALSE	FALSE
YGL123W	4.64	7.09	FALSE	FALSE
YGR282C	1.89	1.66	FALSE	FALSE
YLL050C	1.14	2.89	FALSE	FALSE
YLR167W	4.08	7.94	FALSE	FALSE
YMR217W	0.35	0.61	TRUE	FALSE
YOL127W	2.08	3.37	FALSE	FALSE
YOL154W	1.89	1.48	FALSE	FALSE
YOR108W	0.27	0.34	FALSE	FALSE
YOR182C	7	11.26	FALSE	FALSE
YPL163C	0.48	0.82	FALSE	FALSE
YDL208W	0.46	0.72	FALSE	FALSE
YER074W	0.49	0.72	FALSE	FALSE
YGR085C	3.17	7.72	FALSE	FALSE
YHR026W	6.83	6.49	FALSE	FALSE
YIL051C	2.45	3.98	FALSE	FALSE
YKR057W	2.86	8.27	FALSE	FALSE
YLL024C	2.07	3.05	FALSE	FALSE
YML058W	1.15	2.37	FALSE	FALSE
YMR236W	0.23	0.47	FALSE	FALSE
YNL209W	2.31	3.13	FALSE	FALSE
YNL281W	0.16	0.24	FALSE	FALSE
YNL327W	1.57	2.13	FALSE	FALSE
YOL092W	0.39	0.62	FALSE	FALSE
YOL143C	0.32	0.48	FALSE	FALSE
YHR041C	0.41	1.08	FALSE	FALSE
