# S. cerevisiae transcriptome, from Holstege et al., Cell 95:717-728, 1998.
#
# orf: the open reading frame
# expr: the expression level
# hl: half life
# tfreq: transcriptional frequency
orf	expr	hl	tfreq
YCR097W	0.9	10	3.4
YCR096C	2.5	NA	NA
YMR056C	0.4	24	0.7
YBR085W	0.8	15	2
YNL141W	2.5	6	14.5
YHR047C	1.5	17	3.3
YBL074C	NA	29	NA
YKL106W	0.9	12	2.7
YLR027C	5.2	18	10.6
YGL119W	1	25	1.5
YBR236C	1.3	21	2.3
YKL112W	1.1	12	3.5
YMR072W	2.6	16	6.2
YCR088W	1	39	1
YNR033W	1.1	20	2
YGR037C	15.4	10	54.7
YNR016C	4.5	12	13.5
YLR131C	0.8	NA	NA
YLR144C	0.6	20	1.1
YBL015W	0.9	20	1.7
YLR304C	3.1	23	5
YJR095W	0.1	12	0.4
YAL054C	0.3	24	0.5
YLR153C	4.6	12	14.7
YFL039C	21.1	17	45.5
YDR448W	0.7	14	1.7
YAR015W	4.3	18	9
YNL220W	4.6	11	15.2
YLR359W	8.9	17	19.1
YLR028C	3.4	17	7.4
YMR120C	3.7	14	9.6
YOR128C	3.1	33	3.5
YGR204W	3.9	16	9.2
YMR300C	1.1	13	3.1
YGL234W	3.4	16	8
YGR061C	4.7	12	14
YDR408C	2.2	17	4.9
YOL086C	51.1	15	125.6
YMR303C	1.3	17	2.9
YMR083W	8.1	13	22.2
YGL256W	3.9	13	11
YBR145W	0.6	12	1.9
YDR226W	16.1	13	44.4
YER170W	0.3	15	0.7
YCR011C	1.3	45	1.1
YDR216W	0.2	40	0.2
YMR282C	0.4	17	1
YEL052W	0.7	14	1.7
YLR397C	0.7	13	1.9
YER017C	1	22	1.8
YDR085C	0.2	41	0.2
YNR044W	2.4	11	8.3
YGL032C	3.1	6	18.3
YCL025C	1.8	22	3
YBR132C	0.1	36	0.2
YFL055W	0.3	19	0.7
YGR289C	0.2	25	0.3
YHR093W	NA	NA	NA
YMR092C	2.1	20	3.8
YDL178W	1.7	16	3.9
YDR264C	1.8	21	3.2
YOR034C	0.8	16	1.7
YOR335C	5.2	12	15.7
YMR169C	0.1	NA	NA
YMR170C	0.2	NA	NA
YPL061W	8.9	15	22.1
YOR374W	1.5	55	1
YNL148C	0.3	13	0.9
YBR110W	0.7	21	1.3
YNL048W	1.2	16	2.9
YGL065C	0.2	11	0.9
YPL227C	2.2	10	8.1
YOR002W	1.2	16	3
YBR243C	0.9	13	2.7
YOR067C	2.2	10	8
YNL219C	1.5	14	3.8
YGL021W	0.7	20	1.3
YML086C	2.7	15	6.7
YNL270C	NA	NA	NA
YCL066W	NA	NA	NA
YCL067C	2.4	NA	NA
YOL130W	1.3	14	3.7
YFL050C	0.3	24	0.5
YML035C	1.5	12	4.8
YDR242W	0.1	13	0.3
YGL156W	0.2	27	0.4
YPL129W	2.2	11	7.4
YEL036C	3	17	6.7
YPR180W	0.6	19	1.1
YCL050C	4.3	NA	NA
YDR530C	0.2	16	0.7
YNL172W	0.6	17	1.1
YDL008W	2.1	11	6.9
YLR127C	0.2	NA	NA
YDR118W	0.2	NA	NA
YOR249C	0.3	15	0.8
YLR102C	0.2	17	0.6
YKL157W	3	24	4.6
YBR286W	7.9	14	20.4
YGL180W	0.1	NA	NA
YPR185W	0.6	22	1
YPL149W	1.5	16	3.4
YJR005W	0.7	19	1.2
YKL135C	1.9	23	3
YBL037W	0.3	17	0.7
YPR029C	1.1	21	1.9
YPL195W	1	14	2.8
YGR261C	1	16	2.4
YPL259C	0.7	24	1
YHL019C	0.3	25	0.5
YBR288C	1.2	17	2.5
YOL062C	0.8	18	1.6
YKL114C	1.2	12	3.5
YLR170C	1.8	15	4.3
YJR058C	1.8	14	4.6
YJL024C	0.3	15	0.7
YML022W	5.7	9	23.8
YDR441C	1.8	37	1.8
YGL105W	9.2	22	15.7
YIL062C	5.1	16	11.7
YLR370C	2.9	26	4.2
YKL013C	1.8	26	2.6
YNR035C	2.4	20	4.4
YHR013C	1.5	9	5.8
YCR048W	1.2	24	1.9
YNR019W	0.4	19	0.8
YDL192W	28.5	18	59.9
YDL137W	9.5	19	18.3
YOR094W	1.2	14	3.3
YOL058W	0.6	30	0.7
YOR130C	0.6	10	2.3
YJL071W	0.7	16	1.6
YJL088W	NA	16	NA
YHR018C	3.5	16	8.2
YER069W	0.7	20	1.3
YMR062C	0.7	11	2.3
YOL140W	0.7	10	2.3
YMR042W	0.3	9	1.3
YML099C	0.4	11	1.5
YDR173C	0.3	77	0.1
YDR376W	0.7	19	1.3
YNL020C	0.2	14	0.6
YBR164C	2.5	18	5.2
YDR127W	1.8	13	5.2
YGL148W	8.3	11	28.9
YDR035W	4.4	15	10.7
YBR249C	7.5	13	21.2
YPR060C	2.2	16	5.3
YGL202W	5.4	21	9.3
YHR137W	0.2	54	0.2
YHR129C	0.4	12	1.4
YDR106W	NA	41	NA
YBR211C	0.8	47	0.6
YDL029W	4.8	25	7.1
YJR065C	1.8	29	2.3
YJL081C	0.6	10	2.4
YNL059C	0.6	23	0.9
YLR085C	0.8	18	1.5
YPR034W	0.7	15	1.7
YOR141C	0.7	23	1.1
YMR033W	1.2	16	2.9
YPR199C	0.7	14	1.7
YPR200C	NA	NA	NA
YPR201W	NA	NA	NA
YLR242C	0.4	18	0.8
YOR058C	0.3	36	0.3
YJL115W	1.1	13	3.3
YDL197C	0.3	18	0.7
YJL170C	0.3	14	1
YKL185W	1.2	17	2.7
YGR097W	1.1	23	1.8
YDL088C	0.8	24	1.2
YPR145W	12	13	34
YGR124W	8.2	13	24
YDR321W	3.1	10	11.1
YLR155C	0.6	14	1.4
YLR157C	0.6	18	1.2
YLR158C	1	15	2.4
YLR160C	0.6	21	1
YBL069W	0.6	11	1.8
YER101C	0.1	10	0.6
YDR184C	2.1	19	4.3
YGL017W	0.4	23	0.6
YOR377W	0.4	22	0.8
YGR177C	0.6	NA	NA
YPR026W	0.2	NA	NA
YMR301C	0.4	12	1.3
YBL099W	3.4	20	6.4
YLR393W	NA	NA	NA
YNL315C	1.6	15	4.1
YJL180C	0.9	19	1.8
YLR295C	4.7	16	10.6
YPL271W	5.4	18	11.2
YDL004W	5.5	17	11.9
YDR377W	3.6	19	6.9
YJR121W	4.3	16	9.9
YBR039W	5.3	22	9
YPL078C	5.3	21	9.4
YDR298C	5.1	24	7.9
YKL016C	2.8	16	6.7
YML116W	1.2	12	3.9
YAL020C	0.7	13	2
YNL259C	4.3	9	16.5
YOR079C	0.9	33	1
YFL011W	0.1	15	0.4
YKL004W	2.5	14	6.6
YNR007C	0.2	46	0.2
YPR122W	0.2	15	0.6
YOR113W	0.3	22	0.6
YOR134W	NA	34	NA
YBR068C	3.1	21	5.6
YDR046C	2	14	5.3
YIL015W	2	7	10.9
YKR099W	1	12	3.1
YHR208W	5.6	14	14.9
YJR148W	6.1	13	17.7
YPL255W	0.3	10	1.1
YJL095W	0.3	16	0.7
YER167W	1.1	20	2
YDR375C	0.3	15	0.9
YLR399C	1.1	16	2.5
YDL070W	1.3	13	3.8
YMR116C	43.9	13	124
YBR200W	0.7	19	1.3
YER155C	1.6	17	3.3
YPL115C	0.8	14	2.2
YPL161C	0.4	21	0.7
YIL004C	1.1	10	3.9
YPR176C	1.2	17	2.5
YKR068C	2.5	26	3.6
YJL031C	0.3	15	1
YOR198C	3.3	17	7.2
YDR299W	1.7	10	6.3
YGR282C	15	29	19.2
YHR101C	0.1	38	0.2
YCL029C	0.4	17	0.9
YER016W	1.1	14	3.1
YGR286C	1.3	9	5.5
YNR058W	0.3	20	0.6
YNR057C	0.8	19	1.5
YNR056C	NA	18	NA
YER177W	16.5	17	35.3
YDR099W	4.6	20	8.7
YNL271C	0.8	26	1.2
YNL233W	0.6	13	1.5
YIL159W	0.2	22	0.4
YBL085W	1.5	15	3.6
YER114C	0.6	14	1.4
YLR078C	1.6	14	4.1
YCR032W	0.2	NA	NA
YDL141W	0.7	15	1.7
YGR246C	1.2	14	3.3
YBL097W	NA	NA	NA
YPL084W	0.6	23	0.9
YPR057W	0.8	16	1.8
YER172C	0.4	30	0.6
YBR290W	1.2	44	1
YFL025C	0.4	24	0.7
YPL069C	0.4	17	0.9
YDR252W	0.2	NA	NA
YGR188C	0.1	23	0.2
YMR055C	0.3	13	1
YOR026W	0.9	15	2.2
YKL092C	0.2	17	0.5
YCL013W	0.2	27	0.3
YJR092W	0.6	23	1
YCR038C	0.1	23	0.2
YLR319C	0.4	11	1.6
YOR299W	0.7	19	1.4
YLR353W	0.3	15	0.9
YGR041W	0.3	12	1.1
YMR275C	0.6	21	1
YLR226W	0.9	20	1.6
YER159C	3.1	12	9.2
YML102W	0.7	16	1.4
YDR423C	0.3	18	0.6
YFL028C	2.5	17	5.3
YJR122W	0.6	22	0.9
YOR276W	7.3	16	16.6
YKR036C	0.4	13	1.2
YER048C	2.9	12	8.7
YFL029C	0.4	28	0.6
YEL063C	1.1	16	2.6
YKL007W	1.5	20	2.8
YIL034C	2.2	20	4.2
YPL111W	2.6	12	8.1
YLR438W	0.9	23	1.5
YML042W	0.1	NA	NA
YMR280C	NA	15	NA
YJR060W	1.3	14	3.7
YGR140W	0.3	19	0.7
YLR175W	11.2	13	31.9
YJL209W	0.6	14	1.4
YHL038C	0.6	NA	NA
YPL215W	0.9	19	1.6
YGR174C	0.9	14	2.3
YBR120C	0.7	20	1.2
YIL043C	10.1	23	16.5
YDL069C	0.3	29	0.4
YDR197W	0.3	16	0.9
YKL208W	0.3	16	0.7
YER168C	0.4	16	1.1
YLR220W	1.2	15	3.2
YDR270W	0.4	16	1.1
YKL011C	0.4	15	1.2
YGR217W	0.4	30	0.6
YPR025C	0.4	20	0.9
YKR066C	2.6	20	4.7
YAL021C	1.3	15	3.3
YIL142W	3.3	19	6.4
