orf	expr.no.pheromone	expr.with.pheromone
YAR018C	34.75	15.6
YAL027W	0.66	1.87
YBL082c	73.06	40.04
YIL158W	1.73	4.09
YAL016W	67.4	28.11
YKL138C	116.29	45.55
YKL114C	10.15	9.13
YLL007c	10.53	7.44
YNL075W	9.19	11.46
YDR467C	3.88	5.96
YML001W	14.49	15.72
YOL107W	6.74	6.05
YDR534C	5.95	3.83
YOR001W	84.57	104.58
YKR103W	7.17	5.19
YDR235W	21.43	16.39
YAL055W	0.54	1.24
YAL003W	604.33	389.67
YAL010C	5.69	5.63
YIR014W	0.56	2.2
YAL023C	583.63	305.09
YKL156W	4.38	4.02
YKL161C	5.62	5.45
YLL008w	92.09	116.53
YER114c	257.74	146.18
YOL160W	0.39	0.86
YOL046C	14.36	11.1
YOL052C	47.2	46.47
YOL055C	8.66	6.49
YOR035C	22.73	16.77
YJR137C	9.66	5.8
YGL127C	5.93	5.99
YIL122W	2.37	2.55
YBL010c	0.91	1.6
YBR029c	55.87	21.69
YIR030C	1.57	1.18
YBL061c	8.38	10.85
YKR074W	8.93	5.57
YKR077W	4.38	1.85
YLR117c	11.2	9.35
YNL024C	3.82	2.68
YOL131W	0.39	0.9
YOL008W	4.91	6.26
YOR007C	163.89	180.96
YOL119C	31.34	13.26
YOR081C	30.6	30.8
YLR450W	42.09	16.11
YAL014C	40.64	37.73
YBR024w	4.15	5.97
YBR083w	8.07	54.84
YJL210W	12.01	9.56
YBL008w	6.19	5.34
YKR035C	1.45	3.77
YKR038C	12.66	19.49
YLR135w	5.22	3.26
YGL227W	7.5	5.52
YOL005C	2.38	6.27
YOR077W	0.4	1.2
YOR057W	9.04	11.69
YOR118W	53.73	45.41
YOR178C	7.49	4.91
YLR398C	22.19	17.07
YGL089C	1.67	4.84
YIL094C	74.13	55.61
YBR187w	161.99	124.98
YBR168w	8.51	6.8
YJL217W	12.81	15.73
YBR019c	1.73	2.09
YLL044w	542.21	213.55
YLR063w	13.41	7.23
YLR273C	2.65	4.06
YNR018W	26.13	35.06
YOR031W	7.19	7.24
YOR182C	84.58	58.65
YOR149C	20.52	10.67
YOR317W	55.04	34.3
YNL192W	64.87	144.33
YBR005w	10.38	10.92
YAR070C	0.84	1.4
YBR147w	1.72	0.93
YBR293w	24.06	10.47
YJL174W	52.92	38.04
YBR108w	12.17	8.17
YLR009w	5.22	4.63
YLL002w	5.24	3.69
YLR266C	28.01	22
YGL016W	35.27	11.54
YOR135C	64.19	30.85
YOR214C	0.47	0.61
YOR184W	85.03	76.41
YOR386W	5.46	5.83
YOR353C	8.86	11.15
YMR076C	3.22	2.05
YGL068W	12.41	14.31
YIL076W	18.36	18.36
YCR010c	1.6	3.17
YBR271w	8.79	8.46
YJL160C	0.49	0.68
YBR169c	3.25	3.05
YLR068w	11.1	6.46
YLR157C	132.44	127.57
YLR427W	36.91	31
YPL131W	1722.51	1657.28
YOR170W	5.57	2.53
YOR319W	4.88	4.82
YOR352W	2.75	3.51
YOR351C	0.41	0.6
YPL222W	3.94	4.06
YOR086C	40.78	23.23
YBR171w	13.3	13.89
YBL073w	3.29	2.42
YBR251w	3.18	4.1
YCR045c	23.85	9.85
YJL115W	6.08	3.92
YBR225w	9.3	11.3
YLR065c	0.46	1.74
YLR090w	13.87	11.03
YLR397C	64.98	42.41
YGR134W	26.88	13.47
YOR345C	6.34	6.55
YOR332W	72.61	112.2
YPL230W	0.82	0.77
YPL128C	58.75	40.4
YPL180W	7.01	5.83
YNL273W	3.21	2.46
YGL041C	1.18	1.53
YIL044C	11.72	11.48
YEL019c	3.63	3.29
YCL011c	61.72	57.8
YJL121C	72.79	102.98
YCL054w	5.59	6.95
YLR125w	7.83	5.37
YLR224W	28.97	31.11
YML007W	66.66	62.66
YPL094C	57	68.86
YOR302W	5.91	4.26
YPL229W	18.73	15.15
YPL152W	5.64	4.96
YPL254W	22.14	32.04
YPL029W	9.16	9.82
YPL110C	8.4	6.3
YCL067c	0.91	1.76
YBL026w	2.26	2.95
YCL050c	84.05	129.9
YEL041w	3.83	4.47
YJL017W	14.71	8.99
YCL024w	6.37	2.08
YLR178C	0.67	2.73
YLR210W	4.71	6.84
YMR037C	53.56	29.2
YHL007c	46.05	43.13
YPR020W	1.16	3.87
YPL199C	7.7	9.66
YPR025C	4.29	6.96
YPR070W	11.31	11.72
YPL075W	32.45	31.39
YOR227W	6.26	5.51
YGL018C	0.89	1.31
YIL022W	78.45	80.27
YER056C-A	156.86	233.2
YER043c	2328.52	1585.15
YJL055W	8.09	9.44
YEL053c	11.61	5.5
YLR218C	0.39	1.76
YLR328W	49.96	39.86
YMR104C	7.62	6.46
YPL051W	1.28	2.72
YPR094W	2.55	2.54
YPR151C	0.53	1.02
YPR127W	10.5	8.61
YPR138C	170.97	89.46
YPR175W	12.07	5.29
YPR122W	8.65	12.22
YCR051w	10.01	14.72
YBR009c	91.42	32.93
YCR100c	5.41	4.33
YER051w	9.19	6.09
YJR021C	1.59	2.93
YER069w	56.46	24.18
YLR262C	0.38	2.09
YLR321C	5.31	7.06
YML009C	0.39	1.91
YHR082c	55.41	60.59
YPR099C	0.44	3.14
YPR060C	6.83	13.08
YPR124W	107.04	109.73
YPR145W	678.5	666.24
YPR105C	17.72	27.55
YPR189W	1.01	3.39
YIL139C	3.57	3.02
YEL027w	769.3	295.66
YAL032C	5.69	5.08
YBL039c	74.97	31.08
YKL150W	27.8	19.78
YNL089C	3.12	5.62
YNL053W	18.78	58.9
YOL163W	0.4	0.93
YOL056W	6.59	8.01
YOR056C	22.37	32.94
YNL027W	45.9	36.42
YMR189W	32.04	8.12
YML094W	2.92	5.78
YFL068W	707.26	293.78
YCL056c	8.07	5.45
YAL028W	4.38	4.81
YBL089w	4.26	4.12
YIL153W	13.13	12.54
YIL095W	5.11	4.79
YKL130C	7.39	7.12
YJR152W	6.83	4.53
YLR014c	12.69	7.58
YNL025C	10.47	8.55
YOR044W	0.39	0.88
YOR040W	1.77	1.17
YOL059W	158.33	142.62
YNR063W	3.16	3.96
YNL287W	210.42	116.91
YKR095W	19.48	13.14
YER188w	1.27	2.74
YER012w	14.55	18.47
YBR026c	10.89	9.44
YIR013C	0.6	1.69
YBR132c	7.16	4.95
YKR047W	4.64	6.58
YKR037C	2.44	3.41
YJL071W	9.69	8.02
YNL044W	70.48	59.24
YNL009W	0.98	0.62
YOL024W	0.4	0.54
YOR083W	21.44	11.86
YOR197W	61.07	88.51
YOL152W	12.39	21.45
YNL278W	7.12	5.25
YML026C	1024.28	946.86
YFL046W	1.1	1.8
YCL035c	1.93	5.14
YBL031w	2.16	1.07
YBR127c	689.74	443.75
YIR039C	4.74	3.61
YIL066C	4.72	2.78
YKR043C	80.39	97.11
YKL109W	87.35	64.6
YLR166C	24.57	15.14
YNR015W	14.76	19.65
YOR200W	1.76	5.89
YOR145C	33.44	35.49
YOR117W	91.82	122.03
YOL020W	137.44	141.07
YNL049C	56.54	47.35
YLR320W	47.59	41.07
YGL250W	5.05	3.63
YER046w	0.9	1.68
YBR205w	67.52	76.36
YJL215C	1.08	1.39
YBR248c	18.05	13.35
YLL017w	0.91	2.7
YKR087C	8.5	6.25
YJR053W	8.5	6.05
YNR004W	1.3	1.47
YNR050C	130.13	91.81
YOR253W	15.46	17.84
YOR222W	33.82	27.09
YOR323C	85.76	121.15
YOR138C	19.37	16.34
YOL098C	56.7	24.14
YMR075C-a	2.03	3.52
YIL098C	0.78	0.87
YCL022c	3.05	1.15
YBR054w	65.86	4.05
YBR239c	13.54	18.37
YJL147C	4.29	3.22
YIL015W	86.61	437.61
YLL045c	7.73	8.56
YLL055w	5.66	4.74
YLR309C	4.99	4.97
YNR048W	6.69	4.52
YOR286W	15.21	17.61
YOR255W	0.39	0.78
YOR230W	223.73	200.62
YOR137C	8.84	7.05
YOR005C	5.54	4.21
YMR247C	31.04	14.6
YGL061C	1.86	0.94
YER085c	1.35	1.28
YEL046c	922.37	442.37
YJL182C	1.97	1.26
YCR014c	4.39	3.27
YLR053c	0.53	1.33
YLR026c	5.45	8.1
YKL124W	5.28	5.22
YNR042W	11.13	8.72
YPL123C	3.16	3.68
YPL252C	7.21	10.32
YOR312C	652.53	674.18
YPL224C	18.31	11.67
YOR348C	33.07	11.87
YOR048C	16.52	12.04
YMR158W-a	0.78	1.54
YIL058W	2.28	3.78
YCL004w	3.4	3.56
YBR129c	7.76	7.39
YCR072c	31.63	29.52
YGR246C	2.07	3.01
YLR030w	5.93	5.58
YLR033w	12.56	10.05
YLR382C	20.12	10.56
YPL118W	12.51	15.51
YPL250C	15.13	8.16
YPL241C	6.1	4.58
YOR274W	4.16	4.91
YPL274W	162.31	123.85
YOR219C	11.08	8.58
YOL004W	41.93	21.56
YGR034W	376.24	391.62
YER131w	169.52	264.2
YGL248W	6.65	5.51
YJL144W	1.35	1.64
YEL058w	87.1	106.32
YLR154c	0.41	1.55
YLR208W	105.55	119.15
YKR069W	4.7	4.61
YPL108W	0.75	1.38
YPL092W	6.47	3.98
YPR051W	1.49	4.77
YPL173W	4.93	6.92
YPR036W	154.77	261.02
YPL161C	6.55	5.4
YPL160W	22.66	14.54
YMR251W-a	58.49	26.19
YIL028W	0.57	0.66
YCR025c	0.74	1.24
YCL064c	43.91	30.4
YEL052w	42.23	24.01
YJL054W	10.24	11.96
